citizen,agedef,age,unit,sex,geo\time	2016 	2015 	2014 	2013 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,T,RO	: 	1038 	1391 	1515 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,T,SI	2248 	1808 	1831 	2019 
CC5_13_FOR_X_IS,COMPLET,Y15-64,NR,T,UK	: 	: 	: 	4089 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,AT	876 	857 	732 	907 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,BE	: 	: 	: 	373 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,BG	: 	129 	: 	335 p
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,EL	: 	: 	: 	36 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,ES	: 	: 	: 	140 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,FI	: 	: 	: 	45 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,IE	: 	: 	: 	28 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,IS	: 	: 	: 	1 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,IT	: 	: 	: 	483 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,LT	: 	0 	: 	1 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,LU	: 	: 	: 	41 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,NO	: 	: 	: 	48 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,RO	171 	166 	235 	233 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,SE	: 	: 	: 	211 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,SI	182 	133 	161 	165 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,F,UK	: 	: 	: 	83 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,AT	791 	853 	706 	833 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,BE	: 	: 	: 	269 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,BG	: 	233 	: 	1114 p
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,EL	: 	: 	: 	25 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,ES	: 	: 	: 	111 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,FI	: 	: 	: 	50 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,IE	: 	: 	: 	37 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,IS	: 	: 	: 	2 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,IT	: 	: 	: 	344 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,LT	: 	5 	: 	4 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,LU	: 	: 	: 	35 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,NO	: 	: 	: 	39 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,RO	258 	223 	305 	344 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,SE	: 	: 	: 	262 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,SI	163 	136 	149 	167 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,M,UK	: 	: 	: 	156 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,AT	1667 	1710 	1438 	1740 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,BE	: 	: 	: 	642 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,BG	: 	362 	: 	1449 p
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,EL	: 	: 	: 	61 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,ES	: 	: 	: 	251 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,FI	: 	: 	: 	95 
CC5_13_FOR_X_IS,COMPLET,Y20-24,NR,T,IE	: 	: 	: 	65 
